matrix,dimensions,type,start_time,end_time,rel_error,system,library,umfpack_error
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527084172.3944917,1527084172.9716928,1.984420540904643e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527084186.9649172,1527084203.9377472,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527084213.2821634,1527084234.3266006,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527084238.4606078,1527084241.1906126,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527084248.1482248,1527084252.937433,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527084253.2338338,1527084253.389834,7.130587072135745e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527084264.1070528,1527084268.5842607,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527084269.379862,1527084269.9570632,1.9843485084375063e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527084284.0750878,1527084301.1571178,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527084310.2987337,1527084330.87517,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527084335.0247772,1527084337.8951824,8.859278099307869e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527084344.1663933,1527084348.0352004,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527084348.2848005,1527084348.409601,7.130587072135745e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527084356.1940145,1527084360.343622,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527084361.1392233,1527084361.7320244,1.984541852834143e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527084377.8624525,1527084394.7416823,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527084405.0377004,1527084426.3161378,1.294662946310899e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527084430.4033449,1527084432.8681493,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527084438.8117597,1527084443.616568,2.4049969818680623e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527084443.8817685,1527084444.0221689,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527084453.8501859,1527084457.9841933,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527084458.795395,1527084459.3725958,1.9843485084375063e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527084477.1722271,1527084496.9062617,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527084505.8138773,1527084526.733514,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527084530.14992,1527084532.365124,8.843830001742955e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527084539.5099363,1527084543.4567435,2.4049969818680623e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527084543.690744,1527084543.799944,7.13062827794997e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527084551.5063574,1527084555.624765,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527084556.420366,1527084556.9975672,1.9843485084375063e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527084573.1747956,1527084590.3192258,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527084600.069243,1527084620.5052788,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527084624.6236858,1527084627.3848908,8.859278099307869e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527084632.9697006,1527084637.010108,2.4163713059829555e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527084637.2285082,1527084637.3377082,7.130641612679843e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527084648.0705273,1527084653.4057367,4.529629165835305e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527084654.5133386,1527084655.2621398,1.9845266892484995e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527084671.1273677,1527084687.881797,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527084696.976613,1527084717.7870495,1.294662946310899e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527084721.8742568,1527084724.6042616,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527084731.2810733,1527084735.3682806,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527084735.7738812,1527084735.9766815,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527084745.0870976,1527084749.236705,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527084750.0323062,1527084750.6251073,1.984420540904643e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527084768.3467383,1527084787.0043712,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527084796.1303873,1527084816.9096239,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527084821.0280309,1527084823.8360357,8.859278099307869e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527084830.809248,1527084835.5984566,2.40952440483282e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527084835.863657,1527084836.0040574,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527084844.7868726,1527084848.93648,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527084849.7320814,1527084850.2936823,1.984420540904643e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527084864.349307,1527084881.3221369,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527084893.287358,1527084913.8169937,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527084917.919801,1527084920.696606,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527084926.7182167,1527084930.5870233,2.4163713059829555e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527084930.7898238,1527084930.8990238,7.13062827794997e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527084938.5898376,1527084942.7082448,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527084943.5038462,1527084944.081047,1.9844053763920097e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527084959.2442737,1527084976.8723047,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527084986.9967225,1527085007.9163592,1.294662946310899e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527085012.0191665,1527085014.5463707,8.843830001742955e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527085019.5539796,1527085023.4227865,2.417281964028079e-13,windows,mkl,0
