matrix,dimensions,type,start_time,end_time,rel_error,system,library,umfpack_error
raefsky3.mtx,21200x21200,non_def_pos,1527115291.928875,1527115292.6968744,4.089083658473406e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527115401.6904545,1527115435.2753487,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527115491.5686495,1527115530.1099524,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527115556.5380816,1527115562.8006263,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527115666.4262927,1527115737.4561467,3554508533191.094,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527115740.2656646,1527115740.7042913,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527115744.9741962,1527115745.445554,0.03393998021633246,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527115762.4079256,1527115763.181392,4.089089958806735e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527115871.2435713,1527115904.8756402,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527115961.3702536,1527115999.8433893,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527116025.9015484,1527116032.2230783,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527116136.214798,1527116207.1499114,2066635875576.0688,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527116209.9921498,1527116210.4247816,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527116214.7061944,1527116215.2135463,0.03393998021633246,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527116232.0061607,1527116232.7709408,4.089088468402508e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527116340.8833475,1527116374.5729558,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527116430.8752239,1527116469.3809624,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527116495.8598843,1527116502.235405,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527116605.2141073,1527116676.5715911,845137281272.4894,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527116679.3998542,1527116679.8363254,1.3331235358857922e-08,windows,mkl,0
graham1.mtx,9035x9035,non_def_pos,1527116684.106918,1527116684.580405,0.05299469313855563,windows,mkl,0
raefsky3.mtx,21200x21200,non_def_pos,1527116701.6045485,1527116702.3817732,4.089088468402508e-12,windows,mkl,0
torso1.mtx,116158x116158,non_def_pos,1527116810.1537035,1527116843.8834538,0.9902801586575007,windows,mkl,0
torso3.mtx,259156x259156,non_def_pos,1527116900.2816138,1527116938.745943,5.354627419298442e-16,windows,mkl,0
water_tank.mtx,60740x60740,non_def_pos,1527116964.9822228,1527116971.3258965,3.5900602841173876e-10,windows,mkl,0
PR02R.mtx,161070x161070,non_def_pos,1527117075.118319,1527117146.7399855,2299661766256.716,windows,mkl,0
ex19.mtx,12005x12005,non_def_pos,1527117149.543381,1527117149.9795413,1.3331235358857922e-08,windows,mkl,0
