matrix, dimensions, type, n_iter, time_start, time_stop 
graham1.mtx, 9035x9035, non_def_pos, 21, 1527070706.792811, 1527070707.182812 
graham1.mtx, 9035x9035, non_def_pos, 22, 1527070707.198412, 1527070707.572812 
graham1.mtx, 9035x9035, non_def_pos, 23, 1527070707.588413, 1527070708.009613 
graham1.mtx, 9035x9035, non_def_pos, 24, 1527070708.025213, 1527070708.399614 
graham1.mtx, 9035x9035, non_def_pos, 25, 1527070708.415214, 1527070708.789615 
graham1.mtx, 9035x9035, non_def_pos, 26, 1527070708.805215, 1527070709.210815 
graham1.mtx, 9035x9035, non_def_pos, 27, 1527070709.226415, 1527070709.600816 
graham1.mtx, 9035x9035, non_def_pos, 28, 1527070709.616416, 1527070709.990817 
graham1.mtx, 9035x9035, non_def_pos, 29, 1527070710.006417, 1527070710.396417 
graham1.mtx, 9035x9035, non_def_pos, 30, 1527070710.412017, 1527070710.786418 
raefsky3.mtx, 21200x21200, non_def_pos, 1, 1527070716.199628, 1527070717.010829 
raefsky3.mtx, 21200x21200, non_def_pos, 2, 1527070717.026429, 1527070717.822030 
raefsky3.mtx, 21200x21200, non_def_pos, 3, 1527070717.837631, 1527070718.602032 
raefsky3.mtx, 21200x21200, non_def_pos, 4, 1527070718.617632, 1527070719.413233 
raefsky3.mtx, 21200x21200, non_def_pos, 5, 1527070719.428833, 1527070720.240035 
raefsky3.mtx, 21200x21200, non_def_pos, 6, 1527070720.255635, 1527070721.066836 
raefsky3.mtx, 21200x21200, non_def_pos, 7, 1527070721.082436, 1527070721.878038 
raefsky3.mtx, 21200x21200, non_def_pos, 8, 1527070721.893638, 1527070722.642439 
raefsky3.mtx, 21200x21200, non_def_pos, 9, 1527070722.658039, 1527070723.500440 
raefsky3.mtx, 21200x21200, non_def_pos, 10, 1527070723.516041, 1527070724.342842 
raefsky3.mtx, 21200x21200, non_def_pos, 11, 1527070724.358442, 1527070725.107243 
raefsky3.mtx, 21200x21200, non_def_pos, 12, 1527070725.122843, 1527070725.856045 
raefsky3.mtx, 21200x21200, non_def_pos, 13, 1527070725.871645, 1527070726.636046 
raefsky3.mtx, 21200x21200, non_def_pos, 14, 1527070726.651646, 1527070727.416047 
