timestamp,memory_physical(kB),memory_virtual(kB)
1527070099.296544,3222616.0,3316564.0
1527070099.358944,3222616.0,3316564.0
1527070099.4213443,3222616.0,3316564.0
1527070099.4837446,3222616.0,3316564.0
1527070099.5461445,3222616.0,3316564.0
1527070099.6085446,3222616.0,3316564.0
1527070099.6709447,3222616.0,3316564.0
1527070099.7333448,3222616.0,3316564.0
1527070099.7957451,3222616.0,3316564.0
1527070099.858145,3222616.0,3316564.0
1527070099.920545,3222616.0,3316564.0
1527070099.9829452,3222616.0,3316564.0
1527070100.0453453,3222616.0,3316564.0
1527070100.1077456,3222620.0,3316564.0
1527070100.1701455,3222624.0,3316564.0
1527070100.2325459,3222624.0,3316564.0
1527070100.2949457,3222624.0,3316564.0
1527070100.3573458,3222624.0,3316564.0
1527070100.4197462,3222624.0,3316564.0
1527070100.482146,3222624.0,3316564.0
1527070100.5445464,3222624.0,3316564.0
1527070100.6069462,3222624.0,3316564.0
1527070100.6693463,3222624.0,3316564.0
1527070100.7317467,3222624.0,3316564.0
1527070100.7941468,3222624.0,3316564.0
1527070100.8565469,3222624.0,3316564.0
1527070100.9189467,3222624.0,3316564.0
1527070100.981347,3222624.0,3316564.0
1527070101.0437472,3222624.0,3316564.0
1527070101.1061473,3222624.0,3316564.0
1527070101.1685474,3222624.0,3316564.0
1527070101.2309473,3222624.0,3316564.0
1527070101.2933476,3222624.0,3316564.0
1527070101.3557477,3222624.0,3316564.0
1527070101.4181478,3222624.0,3316564.0
1527070101.480548,3222624.0,3316564.0
1527070101.542948,3222624.0,3316564.0
1527070101.605348,3222624.0,3316564.0
1527070101.6677482,3222624.0,3316564.0
1527070101.7301483,3222624.0,3316564.0
1527070101.7925484,3222624.0,3316564.0
1527070101.8549485,3222624.0,3316564.0
1527070101.9173486,3222624.0,3316564.0
1527070101.9797487,3222624.0,3316564.0
1527070102.0421488,3222624.0,3316564.0
1527070102.1045492,3222624.0,3316564.0
1527070102.166949,3222624.0,3316564.0
1527070102.2293491,3222624.0,3316564.0
1527070102.2917495,3222624.0,3316564.0
1527070102.3541493,3222624.0,3316564.0
1527070102.4165494,3222624.0,3316564.0
1527070102.4789495,3222624.0,3316564.0
1527070102.5413496,3222624.0,3316564.0
1527070102.60375,3222624.0,3316564.0
1527070102.6661499,3222624.0,3316564.0
1527070102.7285502,3222624.0,3316564.0
1527070102.79095,3222624.0,3316564.0
1527070102.8533504,3222624.0,3316564.0
1527070102.9157505,3222624.0,3316564.0
1527070102.9781504,3222624.0,3316564.0
1527070103.0405507,3222624.0,3316564.0
1527070103.1029506,3222624.0,3316564.0
1527070103.165351,3222624.0,3316564.0
1527070103.227751,3222624.0,3316564.0
1527070103.290151,3222624.0,3316564.0
