matrix, dimensions, type, n_iter, time_start, time_stop 
shallow_water1.mtx, 81920x81920, def_pos, 10, 1527100739.830475, 1527100740.189197 
shallow_water1.mtx, 81920x81920, def_pos, 11, 1527100740.212342, 1527100740.569278 
shallow_water1.mtx, 81920x81920, def_pos, 12, 1527100740.592548, 1527100740.952824 
shallow_water1.mtx, 81920x81920, def_pos, 13, 1527100740.972842, 1527100741.330807 
shallow_water1.mtx, 81920x81920, def_pos, 14, 1527100741.352134, 1527100741.710198 
shallow_water1.mtx, 81920x81920, def_pos, 15, 1527100741.733322, 1527100742.093744 
shallow_water1.mtx, 81920x81920, def_pos, 16, 1527100742.117104, 1527100742.477663 
shallow_water1.mtx, 81920x81920, def_pos, 17, 1527100742.500207, 1527100742.818257 
shallow_water1.mtx, 81920x81920, def_pos, 18, 1527100742.839194, 1527100743.154031 
shallow_water1.mtx, 81920x81920, def_pos, 19, 1527100743.175999, 1527100743.491759 
shallow_water1.mtx, 81920x81920, def_pos, 20, 1527100743.511877, 1527100743.826317 
shallow_water1.mtx, 81920x81920, def_pos, 21, 1527100743.846464, 1527100744.160883 
shallow_water1.mtx, 81920x81920, def_pos, 22, 1527100744.183819, 1527100744.503987 
shallow_water1.mtx, 81920x81920, def_pos, 23, 1527100744.525771, 1527100744.840604 
shallow_water1.mtx, 81920x81920, def_pos, 24, 1527100744.859736, 1527100745.176474 
shallow_water1.mtx, 81920x81920, def_pos, 25, 1527100745.197450, 1527100745.512992 
shallow_water1.mtx, 81920x81920, def_pos, 26, 1527100745.532559, 1527100745.849450 
shallow_water1.mtx, 81920x81920, def_pos, 27, 1527100745.868470, 1527100746.220555 
shallow_water1.mtx, 81920x81920, def_pos, 28, 1527100746.244286, 1527100746.562601 
shallow_water1.mtx, 81920x81920, def_pos, 29, 1527100746.588828, 1527100746.981343 
shallow_water1.mtx, 81920x81920, def_pos, 30, 1527100747.006222, 1527100747.365437 
PR02R.mtx, 161070x161070, non_def_pos, 1, 1527100761.556400, 1527100785.278663 
PR02R.mtx, 161070x161070, non_def_pos, 2, 1527100785.308523, 1527100810.834869 
PR02R.mtx, 161070x161070, non_def_pos, 3, 1527100810.860221, 1527100833.785564 
PR02R.mtx, 161070x161070, non_def_pos, 4, 1527100833.814154, 1527100859.269319 
PR02R.mtx, 161070x161070, non_def_pos, 5, 1527100859.293009, 1527100882.410826 
PR02R.mtx, 161070x161070, non_def_pos, 6, 1527100882.439272, 1527100905.108254 
PR02R.mtx, 161070x161070, non_def_pos, 7, 1527100905.137390, 1527100932.302480 
PR02R.mtx, 161070x161070, non_def_pos, 8, 1527100932.331119, 1527100957.732781 
PR02R.mtx, 161070x161070, non_def_pos, 9, 1527100957.763195, 1527100984.075584 
PR02R.mtx, 161070x161070, non_def_pos, 10, 1527100984.101510, 1527101007.147371 
PR02R.mtx, 161070x161070, non_def_pos, 11, 1527101007.172865, 1527101029.978144 
PR02R.mtx, 161070x161070, non_def_pos, 12, 1527101030.006631, 1527101055.403667 
PR02R.mtx, 161070x161070, non_def_pos, 13, 1527101055.428792, 1527101078.455643 
PR02R.mtx, 161070x161070, non_def_pos, 14, 1527101078.482617, 1527101103.783894 
PR02R.mtx, 161070x161070, non_def_pos, 15, 1527101103.808292, 1527101126.932379 
PR02R.mtx, 161070x161070, non_def_pos, 16, 1527101126.960229, 1527101152.724969 
PR02R.mtx, 161070x161070, non_def_pos, 17, 1527101152.754651, 1527101178.477904 
